Timestamp,1. open,2. high,3. low,4. close,5. volume,Time,Date,Minute,Hour,Year,Month,Day
2024-08-19 09:30:00,554.73,555.01,554.7,554.73,487592.0,09:30:00,2024-08-19,30,9,2024,8,19
2024-08-19 09:31:00,554.725,555.08,554.65,554.87,166768.0,09:31:00,2024-08-19,31,9,2024,8,19
2024-08-19 09:32:00,554.86,555.17,554.84,555.15,89053.0,09:32:00,2024-08-19,32,9,2024,8,19
2024-08-19 09:33:00,555.15,555.42,555.11,555.23,141022.0,09:33:00,2024-08-19,33,9,2024,8,19
2024-08-19 09:34:00,555.28,555.34,555.11,555.22,153775.0,09:34:00,2024-08-19,34,9,2024,8,19
2024-08-19 09:35:00,555.24,555.35,555.14,555.24,129195.0,09:35:00,2024-08-19,35,9,2024,8,19
2024-08-19 09:36:00,555.25,555.31,555.01,555.06,111240.0,09:36:00,2024-08-19,36,9,2024,8,19
2024-08-19 09:37:00,555.08,555.08,554.71,554.7996,139032.0,09:37:00,2024-08-19,37,9,2024,8,19
2024-08-19 09:38:00,554.8,554.945,554.52,554.895,138176.0,09:38:00,2024-08-19,38,9,2024,8,19
2024-08-19 09:39:00,554.89,555.03,554.845,554.89,111246.0,09:39:00,2024-08-19,39,9,2024,8,19
2024-08-19 09:40:00,554.89,555.21,554.89,555.15,101232.0,09:40:00,2024-08-19,40,9,2024,8,19
2024-08-19 09:41:00,555.14,555.26,555.0855,555.11,87044.0,09:41:00,2024-08-19,41,9,2024,8,19
2024-08-19 09:42:00,555.16,555.5313,555.1,555.44,83644.0,09:42:00,2024-08-19,42,9,2024,8,19
2024-08-19 09:43:00,555.43,555.53,555.22,555.25,102849.0,09:43:00,2024-08-19,43,9,2024,8,19
2024-08-19 09:44:00,555.259,555.26,555.05,555.1701,49324.0,09:44:00,2024-08-19,44,9,2024,8,19
2024-08-19 09:45:00,555.19,555.23,555.02,555.13,90757.0,09:45:00,2024-08-19,45,9,2024,8,19
2024-08-19 09:46:00,555.13,555.34,555.01,555.22,151110.0,09:46:00,2024-08-19,46,9,2024,8,19
2024-08-19 09:47:00,555.2204,555.375,555.18,555.27,61884.0,09:47:00,2024-08-19,47,9,2024,8,19
2024-08-19 09:48:00,555.28,555.47,555.2,555.47,69854.0,09:48:00,2024-08-19,48,9,2024,8,19
2024-08-19 09:49:00,555.46,555.48,555.2351,555.3,67065.0,09:49:00,2024-08-19,49,9,2024,8,19
2024-08-19 09:50:00,555.3,555.38,555.095,555.105,94930.0,09:50:00,2024-08-19,50,9,2024,8,19
2024-08-19 09:51:00,555.1,555.32,555.08,555.31,53348.0,09:51:00,2024-08-19,51,9,2024,8,19
2024-08-19 09:52:00,555.305,555.375,555.26,555.3,76410.0,09:52:00,2024-08-19,52,9,2024,8,19
2024-08-19 09:53:00,555.31,555.32,555.06,555.09,75113.0,09:53:00,2024-08-19,53,9,2024,8,19
